Instrument,InstrumentSub,Sector,Periode ,waarde
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-08,149414
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-09,151709
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-10,154470
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-11,156727
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1997-12,158913
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-01,164373
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-02,166033
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-03,168320
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-04,170313
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-05,172919
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-06,174828
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-07,177348
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-08,179564
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-09,181947
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-10,184692
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-11,187443
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1998-12,190247
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,1998-12,38071
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1998-12,17405
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1998-12,108990
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-01,192420
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-01,17155
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-01,112407
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-02,194620
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-02,17333
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-02,112994
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-03,196844
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,1999-03,38931
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-03,17231
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-03,112772
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-04,200267
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-04,16955
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-04,113346
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-05,203752
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-05,17038
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-05,115039
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-06,207296
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,1999-06,44572
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-06,17009
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-06,116460
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-07,209550
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-07,16896
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-07,117788
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-08,211830
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-08,16616
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-08,118105
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-09,217095
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,1999-09,42515
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-09,17685
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-09,118089
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-10,220424
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-10,18866
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-10,117124
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-11,224319
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-11,18882
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-11,117071
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,1999-12,227753
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,1999-12,42184
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,1999-12,19311
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,1999-12,116743
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-01,230165
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-01,18377
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-01,118844
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-02,232605
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-02,18376
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-02,118745
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-03,235071
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2000-03,43320
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-03,18791
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-03,118110
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-04,237692
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-04,19063
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-04,117742
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-05,240344
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-05,20049
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-05,118974
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-06,243452
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2000-06,46891
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-06,20833
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-06,119270
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-07,245238
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-07,22401
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-07,117789
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-08,244806
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-08,23411
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-08,116772
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-09,244376
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2000-09,44626
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-09,24605
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-09,115662
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-10,247177
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-10,26476
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-10,114400
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-11,249291
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-11,28283
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-11,112564
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2000-12,252170
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2000-12,44784
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2000-12,29452
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2000-12,111057
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-01,255925
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-01,30434
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-01,114914
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-02,259739
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-02,31335
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-02,115364
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-03,263614
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2001-03,47061
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-03,31978
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-03,116368
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-04,264542
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-04,32873
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-04,117213
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-05,265474
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-05,33234
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-05,118159
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-06,269164
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2001-06,50203
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-06,33193
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-06,120214
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-07,271902
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-07,33175
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-07,121665
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-08,274670
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-08,32609
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-08,123316
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-09,277868
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2001-09,47247
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-09,31280
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-09,126093
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-10,281497
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-10,28400
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-10,129977
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-11,283919
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-11,25933
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-11,132440
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2001-12,285867
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2001-12,50732
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2001-12,24789
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2001-12,133912
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-01,288688
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-01,23699
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-01,138740
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-02,291539
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-02,23152
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-02,139438
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-03,294421
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2002-03,50061
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-03,22724
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-03,140336
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-04,298356
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-04,22759
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-04,141102
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-05,300879
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-05,22912
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-05,143718
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-06,303427
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2002-06,55019
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-06,25428
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-06,145342
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-07,305642
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-07,25861
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-07,146095
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-08,307877
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-08,25654
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-08,146973
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-09,310129
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2002-09,49847
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-09,25779
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-09,147767
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-10,311361
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-10,25337
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-10,149155
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-11,310858
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-11,25394
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-11,149553
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2002-12,319790
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2002-12,50148
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2002-12,25046
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2002-12,150037
Zakelijke kredietverlening ,Uitstaande bedragen (mln euro's) ,Niet-financiële bedrijven ,2003-01,174468
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-01,322814
Consumptief krediet ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-01,22314
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2003-01,50536
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2003-01,23109
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2003-01,157762
Woninghypotheken ,"Nieuwe contracten, inclusief heronderhandelingen (mln euro's) ",Huishoudens * ,2003-01,4270
Woninghypotheken ,"Rente op nieuwe contracten, inclusief heronderhandelingen (percentages) ",Huishoudens * ,2003-01,4.84
Woninghypotheken ,Rente op uitstaande bedragen (percentages) ,Huishoudens ,2003-01,5.65
Zakelijke kredietverlening ,Nieuwe contracten (mln euro's) ,Niet-financiële bedrijven ,2003-01,8984
Zakelijke kredietverlening ,Rente op uitstaande leningen  (percentages) ,Niet-financiële bedrijven ,2003-01,5.29
Zakelijke kredietverlening ,Rente op nieuwe contracten > € 1 mln (percentages) ,Niet-financiële bedrijven ,2003-01,3.83
Zakelijke kredietverlening ,Uitstaande bedragen (mln euro's) ,Niet-financiële bedrijven ,2003-02,174798
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-02,324991
Consumptief krediet ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-02,22192
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2003-02,50939
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2003-02,22977
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2003-02,159578
Woninghypotheken ,"Nieuwe contracten, inclusief heronderhandelingen (mln euro's) ",Huishoudens * ,2003-02,3981
Woninghypotheken ,"Rente op nieuwe contracten, inclusief heronderhandelingen (percentages) ",Huishoudens * ,2003-02,4.69
Woninghypotheken ,Rente op uitstaande bedragen (percentages) ,Huishoudens ,2003-02,5.62
Zakelijke kredietverlening ,Nieuwe contracten (mln euro's) ,Niet-financiële bedrijven ,2003-02,8960
Zakelijke kredietverlening ,Rente op uitstaande leningen  (percentages) ,Niet-financiële bedrijven ,2003-02,5.26
Zakelijke kredietverlening ,Rente op nieuwe contracten > € 1 mln (percentages) ,Niet-financiële bedrijven ,2003-02,3.51
Zakelijke kredietverlening ,Uitstaande bedragen (mln euro's) ,Niet-financiële bedrijven ,2003-03,174856
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-03,326778
Consumptief krediet ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-03,22908
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2003-03,49641
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2003-03,22293
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2003-03,161365
Woninghypotheken ,"Nieuwe contracten, inclusief heronderhandelingen (mln euro's) ",Huishoudens * ,2003-03,4518
Woninghypotheken ,"Rente op nieuwe contracten, inclusief heronderhandelingen (percentages) ",Huishoudens * ,2003-03,4.55
Woninghypotheken ,Rente op uitstaande bedragen (percentages) ,Huishoudens ,2003-03,5.59
Zakelijke kredietverlening ,Nieuwe contracten (mln euro's) ,Niet-financiële bedrijven ,2003-03,8906
Zakelijke kredietverlening ,Rente op uitstaande leningen  (percentages) ,Niet-financiële bedrijven ,2003-03,5.18
Zakelijke kredietverlening ,Rente op nieuwe contracten > € 1 mln (percentages) ,Niet-financiële bedrijven ,2003-03,3.5
Zakelijke kredietverlening ,Uitstaande bedragen (mln euro's) ,Niet-financiële bedrijven ,2003-04,176519
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-04,328903
Consumptief krediet ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-04,22606
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2003-04,49570
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2003-04,22326
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2003-04,162879
Woninghypotheken ,"Nieuwe contracten, inclusief heronderhandelingen (mln euro's) ",Huishoudens * ,2003-04,5188
Woninghypotheken ,"Rente op nieuwe contracten, inclusief heronderhandelingen (percentages) ",Huishoudens * ,2003-04,4.55
Woninghypotheken ,Rente op uitstaande bedragen (percentages) ,Huishoudens ,2003-04,5.55
Zakelijke kredietverlening ,Nieuwe contracten (mln euro's) ,Niet-financiële bedrijven ,2003-04,8270
Zakelijke kredietverlening ,Rente op uitstaande leningen  (percentages) ,Niet-financiële bedrijven ,2003-04,5.14
Zakelijke kredietverlening ,Rente op nieuwe contracten > € 1 mln (percentages) ,Niet-financiële bedrijven ,2003-04,3.39
Zakelijke kredietverlening ,Uitstaande bedragen (mln euro's) ,Niet-financiële bedrijven ,2003-05,175792
Woninghypotheken ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-05,331300
Consumptief krediet ,Uitstaande bedragen (mln euro's) ,Huishoudens ,2003-05,21897
Rekening courante tegoeden en spaargeld ,Girale deposito's (mln euro's) ,Huishoudens ,2003-05,56511
Rekening courante tegoeden en spaargeld ,Deposito's met vaste looptijd (mln euro's) ,Huishoudens ,2003-05,22081
Rekening courante tegoeden en spaargeld ,Deposito's met opzegtermijn (mln euro's) ,Huishoudens ,2003-05,165552
Woninghypotheken ,"Nieuwe contracten, inclusief heronderhandelingen (mln euro's) ",Huishoudens * ,2003-05,5731
Woninghypotheken ,"Rente op nieuwe contracten, inclusief heronderhandelingen (percentages) ",Huishoudens * ,2003-05,4.57
Woninghypotheken ,Rente op uitstaande bedragen (percentages) ,Huishoudens ,2003-05,5.52
Zakelijke kredietverlening ,Nieuwe contracten (mln euro's) ,Niet-financiële bedrijven ,2003-05,8863
